Commodity,State,Market,Today Price,Last Week,Last Month,Last Year,Today Arrivals,Last Week,Last Month,Last Year
Bajra(Pearl Millet/Cumbu),Andhra Pradesh,Kurnool,2379 (Mx:2657 Mn:2259),2389 (Mx:2625 Mn:2389),-,-,10.6,1.4,-,-
Bajra(Pearl Millet/Cumbu),Chattisgarh,Raipur,2968 (Mx:3150 Mn:2900),-,-,-,48.8,-,-,-
Bajra(Pearl Millet/Cumbu),Gujarat,Amirgadh,2685 (Mx:2685 Mn:2680),2650 (Mx:2650 Mn:2640),2650 (Mx:2650 Mn:2600),-,0.8,1.4,0.4,-
Bajra(Pearl Millet/Cumbu),Gujarat,Amreli,2705 (Mx:3125 Mn:1830),-,2840 (Mx:3000 Mn:2440),-,1.8,-,4.4,-
Bajra(Pearl Millet/Cumbu),Gujarat,Bayad,2100 (Mx:2625 Mn:2000),2300 (Mx:2625 Mn:2000),-,-,0.1,0.1,-,-
Bajra(Pearl Millet/Cumbu),Gujarat,Bhavnagar,2650 (Mx:2970 Mn:2325),2760 (Mx:3065 Mn:2455),2595 (Mx:3040 Mn:2150),-,1.5,5.65,4.15,-
Bajra(Pearl Millet/Cumbu),Gujarat,Borsad,2625 (Mx:2750 Mn:2500),2575 (Mx:2650 Mn:2500),2575 (Mx:2650 Mn:2500),-,1.8,2.2,0.6,-
Bajra(Pearl Millet/Cumbu),Gujarat,Dahod,2650 (Mx:2750 Mn:2500),2650 (Mx:2750 Mn:2500),2650 (Mx:2750 Mn:2500),-,1,1.1,4,-
Bajra(Pearl Millet/Cumbu),Gujarat,Deesa,2900 (Mx:3000 Mn:2616.25),2850 (Mx:3035 Mn:2650),2750 (Mx:3010 Mn:2525),-,65,87.1,111.1,-
Bajra(Pearl Millet/Cumbu),Gujarat,Deesa(Bhildi),2850 (Mx:2970 Mn:2730),2800 (Mx:2970 Mn:2670),2850 (Mx:2920 Mn:2635),-,35.4,17.2,13.9,-
Bajra(Pearl Millet/Cumbu),Gujarat,Dehgam,2865 (Mx:2905 Mn:2825),2837 (Mx:2980 Mn:2695),2750 (Mx:2835 Mn:2665),-,9.3,9.7,8.4,-
Bajra(Pearl Millet/Cumbu),Gujarat,Dehgam(Rekhiyal),2750 (Mx:2800 Mn:2700),2625 (Mx:2650 Mn:2600),2600 (Mx:2650 Mn:2550),-,0.8,0.9,0.7,-
Bajra(Pearl Millet/Cumbu),Gujarat,Dhanera,2787.5 (Mx:2927.5 Mn:2612.5),2647.5 (Mx:2820 Mn:2380),2750 (Mx:2885 Mn:2625),-,16.8,13.4,20.2,-
Bajra(Pearl Millet/Cumbu),Gujarat,Dhoraji,2630 (Mx:2630 Mn:2255),2730 (Mx:2730 Mn:1755),-,-,0.2,0.2,-,-
Bajra(Pearl Millet/Cumbu),Gujarat,Gondal,2555 (Mx:2755 Mn:2155),2605 (Mx:2905 Mn:2405),2355 (Mx:2355 Mn:2355),-,2.2,0.6,0.5,-
Bajra(Pearl Millet/Cumbu),Gujarat,Harij,2370 (Mx:2485 Mn:2250),2460 (Mx:2515 Mn:2400),-,-,1,1.6,-,-
Bajra(Pearl Millet/Cumbu),Gujarat,Himatnagar,2525 (Mx:2650 Mn:2400),2563 (Mx:2725 Mn:2400),2525 (Mx:2650 Mn:2400),-,3,4.5,3,-
Bajra(Pearl Millet/Cumbu),Gujarat,Jambusar,2300 (Mx:2500 Mn:2100),2300 (Mx:2500 Mn:2100),2400 (Mx:2600 Mn:2200),-,0.1,0.1,0.1,-
Bajra(Pearl Millet/Cumbu),Gujarat,Jambusar(Kaavi),2400 (Mx:2600 Mn:2200),2400 (Mx:2600 Mn:2200),2600 (Mx:2800 Mn:2400),-,1,1,1,-
